inn%address%main_okved%main_descr%add_okveds%add_descrs%КПП%ОГРН%ДатаОГРН%ДатаРег%Статус%Капитал%НаимПолнЮЛ
7736050003%197229, г. Санкт-Петербург, вн. тер. г. муниципальный округ Лахта-Ольгино, пр-кт Лахтинский, д. 2, к. 3, стр. 1%46.71%Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами%49.50.1|70.22|06.20|71.12.45|85.42.9|09.10|35.22|71.12.43|42.21%Транспортирование по трубопроводам нефти и нефтепродуктов|Консультирование по вопросам коммерческой деятельности и управления|Добыча природного газа и газового конденсата|Создание геодезической, нивелирной, гравиметрической сетей|Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки|Предоставление услуг в области добычи нефти и природного газа|Распределение газообразного топлива по газораспределительным сетям|Деятельность гидрографическая изыскательская|Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения%781401001%1027700070518%2002-08-02%1993-02-25%Действующее%118367564500.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ"""
4716016979%121353, г. Москва, вн. тер. г. муниципальный округ Можайский, ул. Беловежская, д. 4%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%61.10|35.30.2|35.30.3|49.4|35.13|85.42.9|56.29.2|49.20%Деятельность в области связи на базе проводных технологий|Передача пара и горячей воды (тепловой энергии)|Распределение пара и горячей воды (тепловой энергии)|Деятельность автомобильного грузового транспорта и услуги по перевозкам|Распределение электроэнергии|Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки|Деятельность столовых и буфетов при предприятиях и учреждениях|Деятельность железнодорожного транспорта: грузовые перевозки%773101001%1024701893336%2002-08-20%2002-06-25%Действующее%1149596739718.5%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ - РОССЕТИ"""
7707049388%191167, г. Санкт-Петербург, вн. тер. г. муниципальный округ Смольнинское, Синопская набережная, д. 14, литера А%61.10%Деятельность в области связи на базе проводных технологий%42.21|62.02.1|62.02|62.02.4|71.11.1|68.1|77.39.2|63.11.9|70.22%Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения|Деятельность по планированию, проектированию компьютерных систем|Деятельность консультативная и работы в области компьютерных технологий|Деятельность по подготовке компьютерных систем к эксплуатации|Деятельность в области архитектуры, связанная с созданием архитектурного объекта|Покупка и продажа собственного недвижимого имущества|Аренда и лизинг прочих машин и оборудования, не включенных в другие группировки|Деятельность по предоставлению услуг по размещению информации прочая|Консультирование по вопросам коммерческой деятельности и управления%784201001%1027700198767%2002-09-09%2002-09-09%Действующее%8731407.69%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"""
7706061801%123112, г. Москва, Пресненская набережная, д. 4, стр. 2%49.50.1%Транспортирование по трубопроводам нефти и нефтепродуктов%63.99.1|52.10.21|71.20|72.19|49.50.11|49.50.12|80.20|46.71.3|80.10%Деятельность по оказанию консультационных и информационных услуг|Хранение и складирование нефти и продуктов ее переработки|Технические испытания, исследования, анализ и сертификация|Научные исследования и разработки в области естественных и технических наук прочие|Транспортирование по трубопроводам нефти|Транспортирование по трубопроводам нефтепродуктов|Деятельность систем обеспечения безопасности|Торговля оптовая нефтью|Деятельность охранных служб, в том числе частных%770301001%1027700049486%2002-07-24%1993-08-26%Действующее%7249343.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ"""
6315376946%143421, Московская область, г. о. Красногорск, тер. Автодорога Балтия, 26-Й километр, д. 5, стр. 3, офис 506%35.11%Производство электроэнергии%49.3|71.12.45|86.90.4|56.29|71.12.12|68.10|35.11.1|49.4|78.10%Деятельность прочего сухопутного пассажирского транспорта|Создание геодезической, нивелирной, гравиметрической сетей|Деятельность санаторно-курортных организаций|Деятельность предприятий общественного питания по прочим видам организации питания|Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности|Покупка и продажа собственного недвижимого имущества|Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Деятельность автомобильного грузового транспорта и услуги по перевозкам|Деятельность агентств по подбору персонала%502401001%1056315070350%2005-08-01%2005-08-01%Действующее%44467039514.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"""
8604035473%628301, Ханты-Мансийский автономный округ - Югра, г. о. Нефтеюганск, г. Нефтеюганск, ул. Ленина, стр. 26%09.10%Предоставление услуг в области добычи нефти и природного газа%49.50.12|71.20.4|46.75.2|71.12.4|38.32.2|33.14|72.19|86.90.9|95.11%Транспортирование по трубопроводам нефтепродуктов|Испытания, исследования и анализ целостных механических и электрических систем, энергетическое обследование|Торговля оптовая промышленными химикатами|Деятельность геодезическая и картографическая|Обработка (переработка) лома и отходов драгоценных металлов|Ремонт электрического оборудования|Научные исследования и разработки в области естественных и технических наук прочие|Деятельность в области медицины прочая, не включенная в другие группировки|Ремонт компьютеров и периферийного компьютерного оборудования%860401001%1058602819538%2005-05-26%2005-05-26%Юридическое лицо находится в процессе реорганизации в форме присоединения к нему других юридических лиц%14166170300.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-ЮГАНСКНЕФТЕГАЗ"""
7704338977%119048, г. Москва, ул. Усачёва, д. 24%70.10.2%Деятельность по управлению холдинг-компаниями%62.09|74.90.99|70.22|77.12|77.39.12|77.39|77.39.26|77.33.2|77.39.11%Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Деятельность в области защиты информации прочая|Консультирование по вопросам коммерческой деятельности и управления|Аренда и лизинг грузовых транспортных средств|Аренда и лизинг железнодорожного транспорта и оборудования|Аренда и лизинг прочих видов транспорта, оборудования и материальных средств, не включенных в другие группировки|Аренда и лизинг приборов, аппаратов и прочего оборудования, применяемого в медицинских целях|Аренда и лизинг вычислительных машин и оборудования|Аренда и лизинг прочего автомобильного транспорта и оборудования%770401001%5157746150700%2015-12-08%2015-12-08%Действующее%340331000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РТ-ФИНАНС"""
7701885820%101000, г. Москва, вн. тер. г. муниципальный округ Басманный, пер. Сверчков, д. 4/1, стр. 1%71.12.2%Деятельность заказчика-застройщика, генерального подрядчика%43.99.1|42.21|42.12|42.11|43.99.3|91.01|70.10.2|43.34|43.13%Работы гидроизоляционные|Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения|Строительство железных дорог и метро|Строительство автомобильных дорог и автомагистралей|Работы свайные и работы по строительству фундаментов|Деятельность библиотек и архивов|Деятельность по управлению холдинг-компаниями|Производство малярных и стекольных работ|Разведочное бурение%770101001%1107746614436%2010-08-03%2010-08-03%Действующее%16191816400.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСИНЖПРОЕКТ"""
7708587205%105005, г. Москва, пер. Елизаветинский, д. 12, стр. 1%43.12%Подготовка строительной площадки%43.12.3|42.13|37.00|41.20|71.12.2|43.39|43.99|25.11|71.12.1%Производство земляных работ|Строительство мостов и тоннелей|Сбор и обработка сточных вод|Строительство жилых и нежилых зданий|Деятельность заказчика-застройщика, генерального подрядчика|Производство прочих отделочных и завершающих работ|Работы строительные специализированные прочие, не включенные в другие группировки|Производство строительных металлических конструкций, изделий и их частей|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора%770901001%1067746082546%2006-01-19%2006-01-19%Действующее%14176805000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ"""
7702038150%129110, г. Москва, пр-кт Мира, д. 41, стр. 2%49.31.24%Перевозка пассажиров метрополитеном%73.11|71.12.15|86.21|47.78.3|52.21.1|47.81|52.21.12|79.90.2|43.32%Деятельность рекламных агентств|Инженерные изыскания в строительстве|Общая врачебная практика|Торговля розничная сувенирами, изделиями народных художественных промыслов|Деятельность вспомогательная, связанная с железнодорожным транспортом|Торговля розничная в нестационарных торговых объектах и на рынках пищевыми продуктами, напитками и табачной продукцией|Деятельность железнодорожных пассажирских вокзалов и грузовых терминалов|Деятельность по предоставлению экскурсионных туристических услуг|Работы столярные и плотничные%770201001%1027700096280%2002-08-05%1994-11-01%Действующее%356991399229.12%"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ОРДЕНА ЛЕНИНА И ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ МЕТРОПОЛИТЕН ИМЕНИ В.И.ЛЕНИНА"""
7701984274%105005, г. Москва, пер. Плетешковский, д. 2%36.00%Забор, очистка и распределение воды%61.1|62.02.4|55.10|35.11.2|96.04|37.00|52.10|74.20|56.29%Деятельность в области связи на базе проводных технологий|Деятельность по подготовке компьютерных систем к эксплуатации|Деятельность гостиниц и прочих мест для временного проживания|Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Деятельность физкультурно- оздоровительная|Сбор и обработка сточных вод|Деятельность по складированию и хранению|Деятельность в области фотографии|Деятельность предприятий общественного питания по прочим видам организации питания%770101001%1127747298250%2012-12-29%2012-12-29%Действующее%228816897453.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ"""
